Jornada,fechaUTC,Hora,Equipo A,equipoAId,Equipo B,equipoBId,instalaciones,campo
10,4/02/2026,20:30:00,Ozempic de Lyon FC,8,UD Chancla,1,CIUTAT_ESPORTIVA_E,2
10,5/02/2026,20:30:00,Dyermatic CF,4,Inafuma y Beben,6,CHENCHO_B,2
10,6/02/2026,20:30:00,Vikingos Futbol Club,11,Tuerzebotas FC,10,CIUTAT_ESPORTIVA_E,1
10,6/02/2026,20:30:00,Vodka Juniors,12,Sense Remei FC,9,CIUTAT_ESPORTIVA_D,2
10,6/02/2026,20:30:00,FC Trans Emmar,5,Maradona FC,7,CIUTAT_ESPORTIVA_E,2
11,11/02/2026,20:30:00,Cultural Recompensa,3,Ozempic de Lyon FC,8,CIUTAT_ESPORTIVA_E,1
11,11/02/2026,20:30:00,Maradona FC,7,Dyermatic CF,4,CIUTAT_ESPORTIVA_E,2
11,12/02/2026,20:30:00,Inafuma y Beben,6,Vodka Juniors,12,CHENCHO_B,2
11,13/02/2026,20:30:00,Tuerzebotas FC,10,FC Trans Emmar,5,CIUTAT_ESPORTIVA_E,1
11,13/02/2026,20:30:00,UD Chancla,1,Vikingos Futbol Club,11,CIUTAT_ESPORTIVA_D,2
11,13/02/2026,20:30:00,Sense Remei FC,9,Al-Hachis FC,2,CIUTAT_ESPORTIVA_E,2
